id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
JPLMet_20250211,68,60,56,,Profile874_SN00151.csv,,1,82,105
JPLMet_20250211,68,60,56,,Profile876_SN00151.csv,,1,35,54
JPLMet_20250205,70,70,67,,Profile1316_SN00234.csv,,1,63,73
JPLMet_20250205,70,70,67,,Profile1317_SN00234.csv,,0,,
JPLMet_20250205,70,70,67,,Profile1318_SN00234.csv,,0,,
JPLMet_20250205,70,70,67,,Profile1319_SN00234.csv,,0,,
JPLMet_20250205,70,70,67,,Profile1320_SN00234.csv,,1,1,51
JPLMet_20250407_TS_1045,76,61,58,,Profile214_SN00377.csv,,1,1,14
JPLMet_20250407_TS_1045,76,61,58,,Profile217_SN00377.csv,,1,122,164
JPLMet_20250407_TS_1045,76,61,58,,Profile219_SN00377.csv,,1,180,150
JPLMet_20250407_TS_1045,76,61,58,,Profile224_SN00377.csv,,1,103,138
JPLMet_20250407_TS_1045,76,61,58,,Profile226_SN00377.csv,,1,109,165
JPLMet_20250407_TS_1045,76,53,49,,Profile214_SN00377.csv,,1,115,159
JPLMet_20250407_TS_1045,76,53,49,,Profile217_SN00377.csv,,1,203,296
JPLMet_20250407_TS_1045,76,53,49,,Profile219_SN00377.csv,,1,182,294
JPLMet_20250407_TS_1045,76,53,49,,Profile224_SN00377.csv,,1,185,281
JPLMet_20250407_TS_1045,76,53,49,,Profile226_SN00377.csv,,1,189,287
JPLMet_20250407_TS_1045,76,43,42,,Profile214_SN00377.csv,,1,186,285
JPLMet_20250407_TS_1045,76,43,42,,Profile217_SN00377.csv,,0,,
JPLMet_20250407_TS_1045,76,43,42,,Profile219_SN00377.csv,,1,334,496
