,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
2037,63.5,53.0,,,1_2,FC,F+,D,rounding,,,,,107.0,JPLMet_20240305,9.81,,
2038,53.0,52.5,,,<1,MFcr,F,D,faceting,,,,,107.0,JPLMet_20240305,,,
2039,52.5,41.0,,,1_2,FC,F,D,rounding,,,,,107.0,JPLMet_20240305,,,
2040,41.0,30.0,,,1_2,FC,4F+,D,rounding,,,,,107.0,JPLMet_20240305,63.85583333333334,,
2041,30.0,25.0,,,<1,RG,1F,D,faceted edges,,,,,107.0,JPLMet_20240305,125.0775,,
2042,25.0,0.0,,,2_4,DH,F,D,striations,,,,,107.0,JPLMet_20240305,,,
2043,51.5,45.0,,,1_2,FC,F-,D,,,,,,51.5,LFMet_20240104,,,
2044,45.0,33.0,,,2_4,FC,F,D,,,,,,51.5,LFMet_20240104,,,
2045,33.0,22.0,,,1_2,FC,F+,D,as large as 4mm,,,,,51.5,LFMet_20240104,,,
2046,22.0,12.0,,,4_6,FC,F+,D,8mm chains,,,,,51.5,LFMet_20240104,,,
2047,12.0,7.5,,,2_4,FC,1F,D,very cohesive,,,,,51.5,LFMet_20240104,,,
2048,7.5,0.0,,,4_6,DH,F,D,"striations, cups",,,,,51.5,LFMet_20240104,9.81,,
2049,173.0,156.0,,,1_2,DF,F,D,,,,,,173.0,FSTA_20240307,,0.15985150140056023,
2050,156.0,147.0,,,1_2,DF,F,D,,,,,,173.0,FSTA_20240307,,0.3295860317460317,
2051,147.0,137.0,,,<1,RG,F+,D,,,,,,173.0,FSTA_20240307,,0.7618566384976527,
2052,137.0,121.0,,,1_2,RG,4F,D,,,,,,173.0,FSTA_20240307,43.164,1.8428573038348082,
2053,121.0,84.0,,,<1,RG,4F+,D,FC towards bottom of layer,,,,,173.0,FSTA_20240307,71.93999999999998,2.0742815238095234,
2054,84.0,71.0,,,<1,RG,1F+,D,faceted rounds,,,,,173.0,FSTA_20240307,374.88214285714287,6.837043177884615,
2055,71.0,62.0,,,<1,RG,P,D,,,,,,173.0,FSTA_20240307,686.7,,
2056,62.0,42.0,,,2_4,FC,F+,D,,,,,,173.0,FSTA_20240307,73.575,,
2057,42.0,0.0,,,2_4,DH,F,D,some rounded edges,,,,,173.0,FSTA_20240307,81.96326086956522,,
2058,99.0,93.5,,,1_2,DF,F,D,,,,,,99.0,DHCLPX_20240215,,,
2059,93.5,92.0,,,<1,MFcr,P+,D,<1mm facets on top and bottom,,,,,99.0,DHCLPX_20240215,,,
2060,92.0,85.0,,,1_2,RG,F,D,,,,,,99.0,DHCLPX_20240215,,,
2061,85.0,83.5,,,1_2,MFcr,P,D,,,,,,99.0,DHCLPX_20240215,,,
2062,83.5,75.5,,,1_2,RG,F,D,faceting,,,,,99.0,DHCLPX_20240215,,,
2063,75.5,71.0,,,<1,MFcr,1F,D,facets top an dbottom.  thickness varies ,,,,,99.0,DHCLPX_20240215,80.115,,
2064,71.0,54.0,,,<1,RG,4F,D,faceted edges,,,,,99.0,DHCLPX_20240215,59.01328125,,
2065,54.0,44.0,,,<1,RG,P,D,,,,,,99.0,DHCLPX_20240215,119.82214285714288,,
