,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
341,77.0,57.0,0.5,0.3,0.4,RG,1F,D,,3.4,10.0,294.11764705882354,,124.0,FCO_20240311,,,
342,57.0,56.0,2.0,2.0,2.0,MFcr,1F,D,,17.2,48.0,279.06976744186045,,124.0,FCO_20240311,,,
343,56.0,45.0,0.5,0.3,0.4,RG,1F,D,,1.8,7.0,388.88888888888886,,124.0,FCO_20240311,,,
344,45.0,41.0,3.0,2.0,2.5,MFcr,P,D,w/ FCxr,22.0,75.0,340.90909090909093,,124.0,FCO_20240311,,,
345,41.0,24.0,2.0,1.0,1.5,RG,1F,D,,23.8,73.0,306.7226890756302,,124.0,FCO_20240311,,,
346,24.0,0.0,5.0,2.0,3.0,FC,F,M,"moist, Facets",5.0,28.0,560.0,,124.0,FCO_20240311,,,
349,95.0,91.0,0.8,0.1,0.3,MFcr,P,D,,3.0,9.0,300.0,20250205.0,95.0,AM_20250205,48.27755850533808,1.4118258234875445,
350,91.0,75.0,0.8,0.1,0.3,RG,F,D,RGlr,14.799999999999995,33.0,222.97297297297305,,95.0,AM_20250205,34.775808668280874,1.4997860299999999,
351,75.0,52.0,1.0,0.3,0.5,FCxr,1F,D,,23.200000000000003,66.0,284.4827586206896,,95.0,AM_20250205,,,
352,52.0,29.0,2.0,0.5,1.0,DHxr,F,D,,24.2,64.0,264.4628099173554,,95.0,AM_20250205,,,
353,29.0,0.0,4.0,0.5,2.0,DHxr,F,D,DHch,24.6,60.5,245.93495934959347,,95.0,AM_20250205,,,
361,133.0,104.0,0.8,0.1,0.5,FCsf,F,D,,28.39999999999999,47.5,167.2535211267606,20250121.0,133.0,CLPX_FASP8_20250121,40.100477142857144,10.677126099682543,
362,104.0,80.0,1.0,0.3,0.5,RG,1F,D,RGlr Necks and bonds,24.6,64.0,260.1626016260162,,133.0,CLPX_FASP8_20250121,,,
363,80.0,61.0,2.0,0.5,1.0,FC,F,D,FCso,17.0,42.5,250.0,,133.0,CLPX_FASP8_20250121,,,
364,61.0,45.0,3.0,1.0,1.5,DHcp,4F,D,,15.6,45.0,288.46153846153845,,133.0,CLPX_FASP8_20250121,,,
365,45.0,14.0,2.0,0.5,1.0,RGxf,P,D,,27.0,97.8,362.22222222222223,,133.0,CLPX_FASP8_20250121,,,
366,14.0,0.0,4.0,1.0,1.5,DHxr,4F,D,,15.0,44.5,296.6666666666667,,133.0,CLPX_FASP8_20250121,,,
373,42.0,41.0,2.0,0.5,1.0,PPgp,F,D,,,,,20241217.0,42.0,SLMet_20241217,1.1306830985915493,0.0881796338028169,
374,41.0,37.0,1.0,0.3,0.5,DF,F,D,DFdc starting to round,5.8,7.5,129.31034482758622,,42.0,SLMet_20241217,36.321525,0.29469258447488583,
375,37.0,19.0,1.0,0.3,0.5,FC,4F,D,FCso,19.0,40.0,210.52631578947367,,42.0,SLMet_20241217,,,
376,19.0,5.0,4.0,1.0,2.0,DHla,F,D,,11.6,24.5,211.20689655172416,,42.0,SLMet_20241217,,,
377,5.0,0.0,4.0,1.0,2.0,IFbi,P,D,"Crust or ice lens, grains are DHla when broken apart",4.6,11.5,250.00000000000003,,42.0,SLMet_20241217,,,
385,132.0,128.5,0.8,0.3,0.5,MFcl,1F,M,Bonded clumps,5.799999999999997,18.5,319.0,20250228.0,132.0,DHMet_DHSMET_20250228,27.71758775510204,,
386,128.5,127.0,1.0,0.3,0.5,MFcr,P,D,MFcr,1.7999999999999972,4.5,250.0000000000004,,132.0,DHMet_DHSMET_20250228,265.10357142857146,,
387,127.0,95.0,0.3,0.1,0.2,RG,P,D,RGsr,30.80000000000001,70.5,229.0,,132.0,DHMet_DHSMET_20250228,38.04864175265695,,
388,95.0,86.0,0.3,0.1,0.2,RG,P,D,RGsr,8.199999999999989,24.5,299.0,,132.0,DHMet_DHSMET_20250228,,,
389,86.0,71.0,1.5,0.5,1.0,FCxr,1F,D,Small chains,16.400000000000006,42.5,259.0,,132.0,DHMet_DHSMET_20250228,,,
390,71.0,60.0,1.5,0.5,1.0,RG,1F,D,RGlr May have been facets but really rounded,8.600000000000001,32.5,378.0,,132.0,DHMet_DHSMET_20250228,,,
391,60.0,45.0,1.5,0.5,1.0,RG,1F,D,RGlr,12.6,37.5,298.0,,132.0,DHMet_DHSMET_20250228,,,
392,45.0,43.0,2.0,0.5,1.0,MFpc,P,D,,1.5999999999999943,5.5,344.0,,132.0,DHMet_DHSMET_20250228,,,
393,43.0,31.0,2.0,1.0,1.5,FCxr,1F,D,,15.200000000000005,40.5,266.0,,132.0,DHMet_DHSMET_20250228,,,
394,31.0,26.0,2.5,1.0,1.5,FCxr,P,D,,3.6000000000000014,10.0,278.0,,132.0,DHMet_DHSMET_20250228,,,
395,26.0,12.0,3.0,1.0,2.0,FCxr,4F,M,,12.4,35.5,286.0,,132.0,DHMet_DHSMET_20250228,,,
396,12.0,0.0,3.0,1.0,2.0,DHxr,P,M,DHcp sparse,9.0,22.5,250.0,,132.0,DHMet_DHSMET_20250228,,,
397,60.0,59.5,2.0,0.5,1.0,PPsd,F,D,Some PPgp,,,,20250107.0,60.0,SLMet_20250107,0.981,0.10161626285714284,
398,59.5,46.0,1.0,0.5,0.8,DF,F,D,DFdc FCsf,13.0,17.5,134.6153846153846,,60.0,SLMet_20250107,36.94258455882353,0.47094859003322254,
399,46.0,33.0,1.0,0.3,0.5,RGxf,1F,D,,12.4,27.5,221.7741935483871,,60.0,SLMet_20250107,,,
400,33.0,16.0,2.0,0.5,1.0,DHpr,F,D,Early cups,17.4,39.5,227.0114942528736,,60.0,SLMet_20250107,,,
401,16.0,6.0,3.0,1.0,1.5,DHla,4F,D,DHch,9.0,19.5,216.66666666666663,,60.0,SLMet_20250107,,,
402,6.0,0.0,2.0,0.5,1.0,MFcl,P,D,Some signs of rounding,4.6,9.5,206.5217391304348,,60.0,SLMet_20250107,,,
409,146.0,143.0,2.0,0.5,1.0,MFcr,K,D,"MFpc, FCsf
3.6-12.5",3.6,12.5,386.38007,20250409.0,146.0,AM_20250409,83.06835523481259,2.9670986279620855,2.154725134582189
410,143.0,125.0,1.0,0.3,0.5,FCxr,4F,D,15.6-38.5,15.6,38.5,247.0,,146.0,AM_20250409,151.50779155219783,5.3643399295407095,0.870158024838181
411,125.0,122.5,,,,IFil,I,D,"Lenses at boundaries, some facets between.  FCso MFpc
3.2-15.5",3.5,15.5,417.5118269,,146.0,AM_20250409,,,
412,122.5,120.0,0.8,0.1,0.5,RGxf,1F,D,2-5,2.0,5.0,250.0,,146.0,AM_20250409,,,
413,120.0,118.0,,,,IFil,I,D,"Lenses at boundaries, some facets between FCso, MFpc
2.2-10",2.2,10.0,361.2755075,,146.0,AM_20250409,,,
414,118.0,93.0,1.0,0.8,0.3,RG,1F,D,23.8-77.5,23.8,77.5,326.0,,146.0,AM_20250409,,,
415,93.0,66.0,1.0,0.8,0.5,RG,P,D,27.8-108.6,27.8,108.6,391.0,,146.0,AM_20250409,,,
416,66.0,49.0,1.5,0.5,1.0,RG,1F,D,14.2-49.5,14.2,49.5,349.0,,146.0,AM_20250409,,,
417,49.0,10.0,4.0,1.0,2.0,FCxr,F,D,"DHxr
40.6-118.5",40.6,118.5,292.0,,146.0,AM_20250409,,,
418,10.0,0.0,6.0,1.0,2.0,DHxr,1F,D,"DHla
9.4-23.5",9.4,23.5,250.0,,146.0,AM_20250409,,,
421,84.0,67.0,1.0,0.3,0.5,DF,F,D,DFdc FCsf,15.200000000000005,21.5,141.4473684210526,20250213.0,84.0,CLPX_FASP8_20250213,26.110418292682926,0.9411907937062938,
422,67.0,63.0,0.8,0.1,0.5,RGwp,P,D,RGla,3.0,8.5,283.3333333333333,,84.0,CLPX_FASP8_20250213,,,
423,63.0,48.0,1.0,0.3,0.5,RGxf,F,D,,14.200000000000005,31.5,221.8309859154929,,84.0,CLPX_FASP8_20250213,,,
424,48.0,25.0,3.0,0.5,1.0,FCxr,F,D,"DHch Some cups, few striations",22.0,48.5,220.4545454545455,,84.0,CLPX_FASP8_20250213,,,
425,25.0,11.0,5.0,1.0,1.5,DHxr,1F,D,,14.6,41.5,284.24657534246575,,84.0,CLPX_FASP8_20250213,,,
426,11.0,0.0,8.0,1.0,2.0,DHla,4F,D,Possibly rounding,14.2,33.0,232.3943661971831,,84.0,CLPX_FASP8_20250213,,,
433,94.5,94.0,16.0,1.0,4.0,PPgp,F,D,,2.8,8.5,303.5714285714286,20250226.0,94.5,JPLMet_20250226,79.25078571428571,1.2232636571428572,
434,94.0,92.0,1.0,0.3,0.5,MFcr,K,D,MFcr MFpc,6.4,15.5,242.1875,,94.5,JPLMet_20250226,34.52632978723404,1.3406230283687943,
