id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
FRE_20250122,187,184,181,S19M0582.PNT_samples.csv,,,1,36,46
FRE_20250122,187,184,181,S19M0583.PNT_samples.csv,,,0,,
FRE_20250122,187,184,181,S19M0584.PNT_samples.csv,,,0,,
FRE_20250122,187,184,181,S19M0585.PNT_samples.csv,,,0,,
FRE_20250122,187,169,166,S19M0576.PNT_samples.csv,,,1,189,214
FRE_20250122,187,169,166,S19M0577.PNT_samples.csv,,,1,186,203
FRE_20250122,187,169,166,S19M0578.PNT_samples.csv,,,1,194,201
FRE_20250122,187,169,166,S19M0579.PNT_samples.csv,,,1,149,164
FRE_20250122,187,169,166,S19M0580.PNT_samples.csv,,,1,215,238
FRE_20250122,187,169,166,S19M0581.PNT_samples.csv,,,1,215,228
FRE_20250122,187,169,166,S19M0582.PNT_samples.csv,,,1,204,224
FRE_20250122,187,169,166,S19M0583.PNT_samples.csv,,,1,194,210
FRE_20250122,187,169,166,S19M0584.PNT_samples.csv,,,1,219,247
FRE_20250122,187,169,166,S19M0585.PNT_samples.csv,,,1,211,233
JPLMet_20250407_TS_1045,76,61,58,S19M0734.PNT_samples.csv,,,1,115,129
JPLMet_20250407_TS_1045,76,53,49,S19M0734.PNT_samples.csv,,,1,200,219
JPLMet_20250407_TS_1045,76,43,42,S19M0734.PNT_samples.csv,,,1,260,264
BDG_20250530,81,4,0,S19M0907.PNT_samples.csv,,,0,,
BDG_20250530,81,4,0,S19M0908.PNT_samples.csv,,,0,,
BDG_20250530,81,4,0,S19M0909.PNT_samples.csv,,,0,,
BDG_20250530,81,4,0,S19M0910.PNT_samples.csv,,,0,,
BDG_20250530,81,4,0,S19M0913.PNT_samples.csv,,,0,,
BDG_20250530,81,4,0,S19M0916.PNT_samples.csv,,,0,,
BOG_20250305,205,203,197.5,S06M0525.PNT_samples.csv,,,1,6.4,44
BOG_20250305,205,203,197.5,S06M0529.PNT_samples.csv,,,1,7,46
BOG_20250305,205,196,194,S06M0525.PNT_samples.csv,,,1,74,78
BOG_20250305,205,196,194,S06M0529.PNT_samples.csv,,,0,,
BOG_20250305,205,190,189,S06M0525.PNT_samples.csv,,,1,131,136
BOG_20250305,205,190,189,S06M0529.PNT_samples.csv,,,0,,
BOG_20250305,205,179.5,179,S06M0525.PNT_samples.csv,,,0,,
BOG_20250305,205,179.5,179,S06M0529.PNT_samples.csv,,,1,231,238
BOG_20250305,205,159,158.5,S06M0525.PNT_samples.csv,,,0,,
BOG_20250305,205,159,158.5,S06M0529.PNT_samples.csv,,,1,433,442
BOG_20250305,205,120.5,119.5,S06M0525.PNT_samples.csv,,,0,,
BOG_20250305,205,120.5,119.5,S06M0529.PNT_samples.csv,,,0,,
BOG_20250305,205,95,94.5,S06M0525.PNT_samples.csv,,,1,1055,1058
BOG_20250305,205,95,94.5,S06M0529.PNT_samples.csv,,,0,,
MCSST_20250402,248,234,228,S19M0716.PNT_samples.csv,,,1,144,393
MCSST_20250402,248,234,228,S19M0722.PNT_samples.csv,,,1,148,346
MCSST_20250402,248,234,228,S19M0726.PNT_samples.csv,,,1,138,347
MCSST_20250402,248,234,228,S19M0727.PNT_samples.csv,,,1,158,367
MCSST_20250402,248,234,228,S19M0728.PNT_samples.csv,,,1,178,245
MCSST_20250402,248,234,228,S19M0729.PNT_samples.csv,,,1,140,357
MCSST_20250402,248,147,127,S19M0716.PNT_samples.csv,,,1,925,1033
MCSST_20250402,248,147,127,S19M0722.PNT_samples.csv,,,1,889,1012
MCSST_20250402,248,147,127,S19M0726.PNT_samples.csv,,,1,808,949
MCSST_20250402,248,147,127,S19M0727.PNT_samples.csv,,,1,791,856
MCSST_20250402,248,147,127,S19M0728.PNT_samples.csv,,,0,,
MCSST_20250402,248,147,127,S19M0729.PNT_samples.csv,,,0,,
BDG_20250107,220,198,197,S19M0513.PNT_samples.csv,,,1,207,219
BDG_20250107,220,198,197,S19M0514.PNT_samples.csv,,,1,212,237
BDG_20250107,220,198,197,S19M0515.PNT_samples.csv,,,1,216,230
BDG_20250107,220,198,197,S19M0516.PNT_samples.csv,,,1,196,212
BDG_20250107,220,198,197,S19M0517.PNT_samples.csv,,,1,218,224
BDG_20250107,220,198,197,S19M0518.PNT_samples.csv,,,1,216,255
BDG_20250107,220,198,197,S19M0519.PNT_samples.csv,,,1,218,223
BDG_20250107,220,198,197,S19M0520.PNT_samples.csv,,,1,221,233
BDG_20250107,220,198,197,S19M0521.PNT_samples.csv,,,1,228,238
BDG_20250107,220,198,197,S19M0522.PNT_samples.csv,,,1,226,237
BDG_20250107,220,132,131,S19M0513.PNT_samples.csv,,,0,,
BDG_20250107,220,132,131,S19M0514.PNT_samples.csv,,,1,881,855
BDG_20250107,220,132,131,S19M0515.PNT_samples.csv,,,1,905,913
BDG_20250107,220,132,131,S19M0516.PNT_samples.csv,,,1,893,899
BDG_20250107,220,132,131,S19M0517.PNT_samples.csv,,,1,918,925
